title	developer	publisher	release date	
Bloodstained: Curse of the Moon	Inti Creates	Inti Creates	<span data-sort-value="000000002018-05-24-0000" style="white-space:nowrap">May 24, 2018	
'Dillon''s Dead-Heat Breakers'	Vanpool	Nintendo	<span data-sort-value="000000002018-05-24-0000" style="white-space:nowrap">May 24, 2018	
Block-a-Pix Color	Lightwood Games	Lightwood Games	<span data-sort-value="000000002018-05-17-0000" style="white-space:nowrap">May 17, 2018	
Shin Megami Tensei: Strange Journey Redux	Atlus	Atlus, Lancarse	<span data-sort-value="000000002018-05-15-0000" style="white-space:nowrap">May 15, 2018	
Up Up Bot	RCMADIAX	RCMADIAX	<span data-sort-value="000000002018-05-10-0000" style="white-space:nowrap">May 10, 2018	
Cycle of Eternity: Space Anomaly	RandomSpin	RandomSpin	<span data-sort-value="000000002018-04-19-0000" style="white-space:nowrap">April 19, 2018	
Alter World	Lemondo Games	Lemondo Games	<span data-sort-value="000000002018-04-05-0000" style="white-space:nowrap">April 5, 2018	
Dodge Club Pocket	James Montagna	James Montagna	<span data-sort-value="000000002018-03-29-0000" style="white-space:nowrap">March 29, 2018	
Waku Waku Sweets: Happy Sweets Making	Sonic Powered	Sonic Powered	<span data-sort-value="000000002018-03-29-0000" style="white-space:nowrap">March 29, 2018	
The Alliance Alive  FuRyu   Atlus USA   <span data-sort-value="000000002018-03-27-0000" style="white-space:nowrap">March 27, 2018
Detective Pikachu	The Pokémon Company	Nintendo	<span data-sort-value="000000002018-03-23-0000" style="white-space:nowrap">March 23, 2018	
Witch & Hero 3	Flyhigh Works	Flyhigh Works	<span data-sort-value="000000002018-03-22-0000" style="white-space:nowrap">March 22, 2018	
Brick Thru	RCMADIAX	RCMADIAX	<span data-sort-value="000000002018-03-08-0000" style="white-space:nowrap">March 8, 2018	
Fat Dragons	Nostatic Software	Nostatic Software	<span data-sort-value="000000002018-02-22-0000" style="white-space:nowrap">February 22, 2018	
SteamWorld Dig 2	Image & Form	Image & Form	<span data-sort-value="000000002018-02-22-0000" style="white-space:nowrap">February 22, 2018	
Machine Knight	Kemco	Kemco	<span data-sort-value="000000002018-02-15-0000" style="white-space:nowrap">February 15, 2018	
Radiant Historia: Perfect Chronology	Atlus	Atlus	<span data-sort-value="000000002018-02-13-0000" style="white-space:nowrap">February 13, 2018	
Now I know my ABCs 2	Skunk Software	Skunk Software	<span data-sort-value="000000002018-02-01-0000" style="white-space:nowrap">February 1, 2018	
Zig Zag Go	RCMADIAX	RCMADIAX	<span data-sort-value="000000002018-01-25-0000" style="white-space:nowrap">January 25, 2018	
Kirby Battle Royale	HAL Laboratory	Nintendo	<span data-sort-value="000000002018-01-19-0000" style="white-space:nowrap">January 19, 2018	
Link-a-Pix Color	Lightwood Games	Lightwood Games	<span data-sort-value="000000002018-01-18-0000" style="white-space:nowrap">January 18, 2018	
Raining Coins	Crazysoft	Crazysoft	<span data-sort-value="000000002018-01-18-0000" style="white-space:nowrap">January 18, 2018	
Style Savvy: Styling Star	Syn Sophia	Nintendo	<span data-sort-value="000000002017-12-25-0000" style="white-space:nowrap">December 25, 2017	
Battleminerz	Wobbly Tooth	Wobbly Tooth	<span data-sort-value="000000002017-12-21-0000" style="white-space:nowrap">December 21, 2017	
The Legend of Dark Witch 3: Wisdom and Lunacy	Inside System, Flyhigh Works	Circle Entertainment	<span data-sort-value="000000002017-12-21-0000" style="white-space:nowrap">December 21, 2017	
Mom Hid My Game!	Kemco	Kemco	<span data-sort-value="000000002017-12-21-0000" style="white-space:nowrap">December 21, 2017	
Picross e8	Jupiter	Jupiter	<span data-sort-value="000000002017-12-21-0000" style="white-space:nowrap">December 21, 2017	
'80''s Overdrive'	Insane Code	Insane Code	<span data-sort-value="000000002017-12-14-0000" style="white-space:nowrap">December 14, 2017	
Blok Drop Chaos	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-12-14-0000" style="white-space:nowrap">December 14, 2017	
Christmas Night Archery	Petite Games	Petite Games	<span data-sort-value="000000002017-12-07-0000" style="white-space:nowrap">December 7, 2017	
Japanese Rail Sim 3D: Travel of Steam	Sonic Powered	Sonic Powered	<span data-sort-value="000000002017-12-07-0000" style="white-space:nowrap">December 7, 2017	
Squareboy vs Bullies: Arena Edition	Rohan Narang	Ratalaika Games	<span data-sort-value="000000002017-12-07-0000" style="white-space:nowrap">December 7, 2017	
Breakout Defense 2	nuGAME	nuGAME	<span data-sort-value="000000002017-11-23-0000" style="white-space:nowrap">November 23, 2017	
Physical Contact: Picture Place	Collavier	Collavier Corporation	<span data-sort-value="000000002017-11-23-0000" style="white-space:nowrap">November 23, 2017	
